"id","name","iso3"
4,"Afghanistan","AFG"
8,"Albania","ALB"
10,"Antarctica","ANTARCTICA"
12,"Algeria","DZA"
16,"American Samoa","ASM"
20,"Andorra","AND"
24,"Angola","AGO"
28,"Antigua and Barbuda","ATG"
31,"Azerbaijan","AZE"
32,"Argentina","ARG"
36,"Australia","AUS"
40,"Austria","AUT"
44,"Bahamas","BHS"
48,"Bahrain","BHR"
50,"Bangladesh","BGD"
51,"Armenia","ARM"
52,"Barbados","BRB"
56,"Belgium","BEL"
60,"Bermuda","BMU"
64,"Bhutan","BTN"
68,"Bolivia","BOL"
70,"Bosnia Herzegovina","BIH"
72,"Botswana","BWA"
74,"Ile Bouvet  ","BVT"
76,"Brazil","BRA"
84,"Belize","BLZ"
86,"British Indian Ocean Territories","IOT"
90,"Solomon Islands","SLB"
92,"British Virgin Islands","VGB"
96,"Brunei Darussalam","BRN"
100,"Bulgaria","BGR"
104,"Myanmar","MMR"
108,"Burundi","BDI"
112,"Belarus","BLR"
116,"Cambodia","KHM"
120,"Cameroon","CMR"
124,"Canada","CAN"
132,"Cape Verde","CPV"
136,"Cayman Islands","CYM"
140,"Central African Republic","CAF"
144,"Sri Lanka","LKA"
148,"Chad","TCD"
152,"Chile","CHL"
156,"China","CHN"
162,"Christmas Islands","CXR"
166,"Cocos Islands","CCK"
170,"Colombia","COL"
174,"Comoros","COM"
175,"Mayotte","MYT"
178,"Congo","COG"
180,"Democratic Republic of the Congo","COD"
184,"Cook Islands","COK"
188,"Costa Rica","CRI"
191,"Croatia","HRV"
192,"Cuba","CUB"
196,"Cyprus","CYP"
203,"Czech Republic","CZE"
204,"Benin","BEN"
208,"Denmark","DNK"
212,"Dominica","DMA"
214,"Dominican Republic","DOM"
218,"Ecuador","ECU"
222,"El Salvador","SLV"
226,"Equatorial Guinea","GNQ"
231,"Ethiopia","ETH"
232,"Eritrea","ERI"
233,"Estonia","EST"
234,"Faeroe Islands","FRO"
238,"Falkland Islands (Malvinas)","FLK"
239,"South Georgia and the South Sandwich Islands","SGS"
242,"Fiji","FJI"
246,"Finland","FIN"
251,"France, Monaco","FRA"
258,"French Polynesia","PYF"
260,"French South Antarctic Territories","ATF"
262,"Djibouti","DJI"
266,"Gabon","GAB"
268,"Georgia","GEO"
270,"Gambia","GMB"
275,"Occupied Palestinian Territory","PSE"
276,"Germany","DEU"
288,"Ghana","GHA"
292,"Gibraltar","GIB"
296,"Kiribati","KIR"
300,"Greece","GRC"
304,"Greenland","GRL"
308,"Grenada","GRD"
316,"Guam","GUM"
320,"Guatemala","GTM"
324,"Guinea","GIN"
328,"Guyana","GUY"
332,"Haiti","HTI"
334,"Heard Island and McDonald Islands","HMD"
336,"Holy See (Vatican City State)","VAT"
340,"Honduras","HND"
344,"China, Hong Kong Special Administrative Region","HKG"
348,"Hungary","HUN"
352,"Iceland","ISL"
360,"Indonesia","IDN"
364,"Iran","IRN"
368,"Iraq","IRQ"
372,"Ireland","IRL"
376,"Israel","ISR"
381,"Italy","ITA"
388,"Jamaica","JAM"
392,"Japan","JPN"
398,"Kazakhstan","KAZ"
400,"Jordan","JOR"
404,"Kenya","KEN"
408,"Democratic People's Republic of Korea","PRK"
410,"Republic of Korea","KOR"
414,"Kuwait","KWT"
417,"Kyrgyzstan","KGZ"
418,"Lao People's Dem. Rep.","LAO"
422,"Lebanon","LBN"
426,"Lesotho","LSO"
428,"Latvia","LVA"
430,"Liberia","LBR"
434,"Libya","LBY"
440,"Lithuania","LTU"
442,"Luxembourg","LUX"
446,"China, Macao Special Administrative Region","MAC"
450,"Madagascar","MDG"
454,"Malawi","MWI"
458,"Malaysia","MYS"
462,"Maldives","MDV"
466,"Mali","MLI"
470,"Malta","MLT"
478,"Mauritania","MRT"
480,"Mauritius","MUS"
484,"Mexico","MEX"
496,"Mongolia","MNG"
498,"Republic of Moldova","MDA"
499,"Montenegro","MNE"
500,"Montserrat","MSR"
504,"Morocco","MAR"
508,"Mozambique","MOZ"
512,"Oman","OMN"
516,"Namibia","NAM"
520,"Nauru","NRU"
524,"Nepal","NPL"
528,"Netherlands","NLD"
530,"Netherlands Antilles","ANT"
540,"New Caledonia","NCL"
548,"Vanuatu","VUT"
554,"New Zealand","NZL"
558,"Nicaragua","NIC"
562,"Niger","NER"
566,"Nigeria","NGA"
570,"Niue","NIU"
574,"Norfolk Islands","NFK"
579,"Norway, Svalbard and Jan Mayen","NOR"
580,"Northern Mariana Islands","MNP"
581,"United States Minor Outlying Islands","UMI"
583,"Federated State of Micronesia","FSM"
584,"Marshall Islands","MHL"
585,"Palau","PLW"
586,"Pakistan","PAK"
591,"Panama","PAN"
598,"Papua New Guinea","PNG"
600,"Paraguay","PRY"
604,"Peru","PER"
608,"Philippines","PHL"
612,"Pitcairn","PCN"
616,"Poland","POL"
620,"Portugal","PRT"
624,"Guinea-Bissau","GNB"
626,"Timor-Leste","TMP"
634,"Qatar","QAT"
643,"Russian Federation","RUS"
646,"Rwanda","RWA"
654,"Saint Helena","SHN"
659,"Saint Kitts and Nevis","KNA"
660,"Anguilla","AIA"
662,"Saint Lucia","LCA"
666,"Saint Pierre and Miquelon","SPM"
670,"Saint Vincent and the Grenadines","VCT"
674,"San Marino","SMR"
678,"Sao Tome and Principe","STP"
682,"Saudi Arabia","SAU"
686,"Senegal","SEN"
688,"Serbia","SRB"
690,"Seychelles","SYC"
694,"Sierra Leone","SLE"
699,"India","IND"
702,"Singapore","SGP"
703,"Slovakia","SVK"
704,"Viet Nam","VNM"
705,"Slovenia","SVN"
706,"Somalia","SOM"
710,"South Africa","ZAF"
716,"Zimbabwe","ZWE"
724,"Spain","ESP"
732,"Western Sahara","ESH"
736,"Sudan","SDN"
740,"Suriname","SUR"
748,"Swaziland","SWZ"
752,"Sweden","SWE"
533,"Aruba","ABW"
384,"Côte d'Ivoire","CIV"
642,"Romania","ROU"
757,"Switzerland, Liechtenstein","CHE"
760,"Syria","SYR"
762,"Tajikistan","TJK"
764,"Thailand","THA"
768,"Togo","TGO"
772,"Tokelau","TKL"
776,"Tonga","TON"
780,"Trinidad and Tobago","TTO"
784,"United Arab Emirates","ARE"
788,"Tunisia","TUN"
792,"Turkey","TUR"
795,"Turkmenistan","TKM"
796,"Turks and Caicos Islands","TCA"
798,"Tuvalu","TUV"
800,"Uganda","UGA"
804,"Ukraine","UKR"
807,"The Former Yugoslav Republic of Macedonia","MKD"
818,"Egypt","EGY"
826,"United Kingdom","GBR"
834,"United Republic of Tanzania","TZA"
842,"USA, Puerto Rico and US Virgin Islands","USA"
854,"Burkina Faso","BFA"
858,"Uruguay","URY"
860,"Uzbekistan","UZB"
862,"Venezuela","VEN"
876,"Wallis and Futuna Islands","WLF"
882,"Samoa","WSM"
887,"Yemen","YEM"
894,"Zambia","ZMB"
